                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                0.01431,                0.89381,                      1,                0.83965,             0.00024747,             0.00024747,             0.00024747
                     68,                0.01661,                0.89381,                      1,                0.84044,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00585,                0.92035,                      1,                0.84112,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00915,                 0.9292,                      1,                0.81874,             0.00022627,             0.00022627,             0.00022627
                     71,                 0.0027,                0.90265,                      1,                0.82725,              0.0002192,              0.0002192,              0.0002192
                     72,                0.01081,                0.92035,                      1,                 0.8188,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00732,                0.92035,                      1,                0.82716,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00696,                 0.9115,                      1,                0.81631,             0.00019799,             0.00019799,             0.00019799
                     75,                0.01973,                0.92035,                      1,                0.82234,             0.00019092,             0.00019092,             0.00019092
                     76,                0.01389,                0.90265,                      1,                0.82756,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00333,                 0.9115,                      1,                0.83593,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00485,                0.90265,                      1,                0.84011,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00444,                 0.9115,                      1,                0.82123,             0.00016265,             0.00016265,             0.00016265
                     80,                0.01329,                0.92035,                      1,                0.81635,             0.00015558,             0.00015558,             0.00015558
                     81,                 0.0058,                0.92035,                      1,                0.81633,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00338,                0.92035,                      1,                0.82028,             0.00014144,             0.00014144,             0.00014144
                     83,                0.01134,                0.92035,                      1,                0.82412,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00498,                 0.9292,                      1,                 0.8164,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00844,                 0.9292,                      1,                0.81659,             0.00012024,             0.00012024,             0.00012024
                     86,                 0.0153,                 0.9292,                      1,                0.82545,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00977,                 0.9292,                      1,                0.81984,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00975,                0.93805,                      1,                0.81109,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.01287,                0.93805,                      1,                 0.8151,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00868,                0.93805,                      1,                0.82603,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00756,                0.93805,                      1,                0.81858,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.01352,                0.93805,                      1,                0.80954,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                 0.0054,                0.93805,                      1,                0.80937,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                 0.0082,                0.93805,                      1,                0.82401,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.01115,                 0.9292,                      1,                0.82975,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00288,                0.93805,                      1,                0.81968,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00643,                0.92035,                      1,                0.82061,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00754,                0.92035,                      1,                0.82243,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00909,                0.92035,                      1,                0.81307,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.00867,                0.92035,                      1,                0.82863,             1.4209e-05,             1.4209e-05,             1.4209e-05
